pointId,pointType,title,address,lon,lat,fractions,scheduleDescription,rating_score
11109,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Дмитровское шоссе, 89",37.54558099999999,55.863834000000004,BYTOVAJA_TEHNIKA,,0.0
11110,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, ул. Дубравная, 34/29",37.357974,55.84588899999999,BYTOVAJA_TEHNIKA,,1.0
11113,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Ленинградское ш., 112/1",37.46555,55.863761999999994,BYTOVAJA_TEHNIKA,,0.0
11114,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Лермонтовский проспект, 19к2",37.855608999999994,55.70016699999998,BYTOVAJA_TEHNIKA,,0.0
11116,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Люблинская улица, 153",37.741908,55.658834999999996,BYTOVAJA_TEHNIKA,,0.0
11117,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, МКАД 24-й километр, 1",37.724966,55.586807,BYTOVAJA_TEHNIKA,,0.0
11118,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Новопетровская улица, 6",37.516594,55.82530800000001,BYTOVAJA_TEHNIKA,,0.0
11119,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Ореховый бульвар, 14к3",37.720105999999994,55.609675,BYTOVAJA_TEHNIKA,,0.0
11123,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Профсоюзная улица, 129А",37.507484000000005,55.61813,BYTOVAJA_TEHNIKA,,0.0
11124,RC,"Пункт приема техники и батареек в магазине ""Эльдорадо""","Москва, Профсоюзная улица, 56",37.552479999999996,55.670021000000006,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11126,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, проспект Мира, 211к2",37.66209299999999,55.845855,BYTOVAJA_TEHNIKA,,0.0
11127,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Святоозерская ул., 1А",37.88413,55.714822999999996,BYTOVAJA_TEHNIKA,,0.0
11129,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, улица Бирюлевская, 51к1",37.67150699999999,55.582654999999995,BYTOVAJA_TEHNIKA,,1.0
11130,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, улица Пришвина, 22",37.602166,55.88556999999999,BYTOVAJA_TEHNIKA,,0.0
11131,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Шереметьевская улица, 6к1",37.616924999999995,55.79562800000001,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11134,RC,"Пункт приема техники в магазине ""Эльдорадо""","Мытищи, Осташковское шоссе, 1",37.668192,55.89935499999999,BYTOVAJA_TEHNIKA,,1.0
11137,RC,"Пункт приема техники в магазине ""Эльдорадо""","Немчиновка, Хорошевский проезд, 14",37.378781999999994,55.720412999999986,BYTOVAJA_TEHNIKA,,0.0
11151,RC,"Пункт приема техники в магазине ""Эльдорадо""","Химки, ул. Бутаково, 4",37.435572,55.888026,BYTOVAJA_TEHNIKA,,0.0
11161,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Головинское ш,, 5с1",37.492538,55.840614999999985,BYTOVAJA_TEHNIKA,,0.0
11162,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, Зеленый пр-т, 62A",37.820873,55.75077899999999,BYTOVAJA_TEHNIKA,,0.0
11163,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, улица Ленинская слобода, 26с 2",37.656772,55.712367,BYTOVAJA_TEHNIKA,,0.0
11164,RC,"Пункт приема техники в магазине ""Эльдорадо""","Москва, улица Менжинского, 27",37.65713399999999,55.870001000000016,BYTOVAJA_TEHNIKA,,0.0
11180,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Венёвская, 6",37.543246,55.54784500000001,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11183,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, МКАД 24-й километр 1",37.723202,55.585051,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11184,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Хабарова, 2",37.35266599999999,55.594650999999985,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11185,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Мосрентген, Калужское шоссе 21-й километр с1",37.489526,55.604483,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11186,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Новоясеневский проспект вл7",37.532367,55.60748899999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11187,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Генерала Белова, 35",37.72395099999999,55.61082899999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11188,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Кировоградская, 13А",37.607026,55.612182000000004,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11189,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Новоясеневский проспект 1",37.50927999999999,55.619467,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11190,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Каширское шоссе, 61Г",37.713953,55.621404,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11191,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, пос. Московский, Киевское ш., 23-й км, 1",37.422335,55.62234799999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11192,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, Бесединское шоссе, вл. 15",37.76133,55.62528199999999,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
11194,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва,  Люблинская улица, 169",37.746534999999994,55.64889000000001,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11195,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Москва, улица Поречная, 10",37.770053,55.65051399999998,"BYTOVAJA_TEHNIKA,BATAREJKI",,1.0
11196,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Россия, Москва, Чонгарский бульвар, 7",37.612558,55.65152100000001,BYTOVAJA_TEHNIKA,,0.0
11197,RC,"Пункт приёма техники и батареек в магазине ""М.Видео""","Котельники, 1-й Покровский проезд, 5",37.84574899999999,55.65330500000002,"BYTOVAJA_TEHNIKA,BATAREJKI",,0.0
